id,name,state,zip code,town,type,member,gender
AfD,Alternative fuer Deutschland,,,,,,
Gesamt 2020,,,,,,,
Dr Kristin Brinker,Dr Kristin Brinker,Berlin,10117,Berlin,1,1,2
Markus Buchheit,Markus Buchheit,Belgien,BEL-1047,Bruessel,1,1,1
Petr Bystron,Petr Bystron,Berlin,11011,Berlin,1,1,1
Gottfried Curio,Gottfried Curio,Berlin,11011,Berlin,1,1,1
Dr Anne Elisabeth Cyron,Dr Anne Elisabeth Cyron,Bayern,81675,Muenchen,1,1,2
Katrin Ebener Steiner,Katrin Ebener Steiner,Bayern,81675,Muenchen,1,1,2
Arno Enners,Arno Enners,Hessen,65183,Wiesbaden,1,1,1
Michael Frisch,Michael Frisch,Rheinland-Pfalz,55116,Mainz,1,1,1
Ronald Glaeser,Ronald Glaeser,Berlin,10117,Berlin,1,1,1
Dr Bernd Grimmer,Dr Bernd Grimmer,Baden-Wuerttemberg,70173,Stuttgart,1,1,1
Guenter Gruber,Guenter Gruber,Bayern,82049,Pullach,1,2,1
Frank Christian Hansel,Frank Christian Hansel,Berlin,10117,Berlin,1,1,1
Holger Hentschel,Holger Hentschel,Sachen,01067,Dresden,1,1,1
Tobias Keller,Tobias Keller,Sachen,01067,Dresden,1,1,1
Christian Klingen,Christian Klingen,Bayern,81675,Muenchen,1,1,1
Christian Krawinkel,Christian Krawinkel,Berlin,10117,Berlin,1,2,1
Hans Joachim Kuhs,Hans Joachim Kuhs,Belgien,BEL-1047,Bruessel,1,1,1
Lars Kuppi,Lars Kuppi,Sachen,01067,Dresden,1,1,1
Joerg Kuehne,Joerg Kuehne,Sachen,01067,Dresden,1,1,1
Robert Lambrou,Robert Lambrou,Hessen,65183,Wiesbaden,1,1,1
Damian Lohr,Damian Lohr,Rheinland-Pfalz,55116,Mainz,1,1,1
Dr Ralph Mueller,Dr Ralph Mueller,Bayern,81675,Muenchen,1,1,1
Iris Nieland,Iris Nieland,Rheinland-Pfalz,55116,Mainz,1,1,2
Joerg Nobis,Joerg Nobis,Schleswig-Holstein,24105,Kiel,1,1,1
Jan Nolte,Jan Nolte,Berlin,11011,Berlin,1,1,1
Georg Pazderski,Georg Pazderski,Berlin,10117,Berlin,1,1,1
Gerhard Schenk,Gerhard Schenk,Hessen,65183,Wiesbaden,1,1,1
Volker Schnurrbusch,Volker Schnurrbusch,Schleswig-Holstein,24105,Kiel,1,1,1
Robert Sesselmann,Robert Sesselmann,Thueringen,99096,Erfurt,1,1,1
Dr Dirk Spaniel,Dr Dirk Spaniel,Berlin,11011,Berlin,1,1,1
Ralf Stadler,Ralf Stadler,Bayern,81675,Muenchen,1,1,1
Markus Wagner,Markus Wagner,Nordrhein-Westfalen,40221,Duesseldorf,1,1,1
Dr Alice Weidel,Dr Alice Weidel,Berlin,11011,Berlin,1,1,2
Alexander Werling,Alexander Werling,Bayern,81479,Muenchen,1,2,1
Wolfgang Wiehle,Wolfgang Wiehle,Berlin,11011,Berlin,1,1,1
Alexander Wiesner,Alexander Wiesner,Sachen,01067,Dresden,1,1,1
Uwe Witt,Uwe Witt,Berlin,11011,Berlin,1,1,1
Karsten Woldeit,Karsten Woldeit,Berlin,10117,Berlin,1,1,1
Zoz GmbH,Zoz GmbH,Nordrhein-Westfalen,57482,Wenden,2,,
Wilfried Evermann,Wilfried Evermann,Niedersachsen,49152,Bad Essen,1,2,1
Walter Hubert Kraus,Walter Hubert Kraus,Nordrhein-Westfalen,40221,Duesseldorf,1,2,1
Anna Engel,Anna Engel,Niedersachsen,31737,Rinteln,1,2,2
